region,date,crop_name,yield_kg_per_hectare,area_hectares
Nairobi,2025-01-15,Maize,2850,42.5
Nairobi,2025-01-15,Beans,1180,18.2
Nakuru,2025-01-15,Maize,3420,96.4
Nakuru,2025-01-15,Wheat,2680,74.1
Eldoret,2025-01-15,Maize,3650,110.8
Eldoret,2025-01-15,Wheat,2910,83.6
Nyeri,2025-01-15,Beans,1320,27.4
Nyeri,2025-01-15,Potatoes,18200,36.9
Meru,2025-01-15,Maize,3180,63.7
Meru,2025-01-15,Potatoes,19450,48.3
Kisumu,2025-01-15,Rice,4210,55.2
Kisumu,2025-01-15,Maize,2760,44.8
Nairobi,2025-02-15,Maize,2925,43.1
Nairobi,2025-02-15,Beans,1215,18.5
Nakuru,2025-02-15,Maize,3510,97.2
Nakuru,2025-02-15,Wheat,2740,74.8
Eldoret,2025-02-15,Maize,3715,111.3
Eldoret,2025-02-15,Wheat,2985,84.0
Nyeri,2025-02-15,Beans,1360,27.9
Nyeri,2025-02-15,Potatoes,18550,37.4
Meru,2025-02-15,Maize,3265,64.5
Meru,2025-02-15,Potatoes,19920,49.1
Kisumu,2025-02-15,Rice,4360,56.0
Kisumu,2025-02-15,Maize,2840,45.2
Nairobi,2025-03-15,Maize,3010,44.0
Nairobi,2025-03-15,Beans,1260,18.9
Nakuru,2025-03-15,Maize,3590,98.0
Nakuru,2025-03-15,Wheat,2815,75.5
Eldoret,2025-03-15,Maize,3820,112.1
Eldoret,2025-03-15,Wheat,3060,84.7
Nyeri,2025-03-15,Beans,1410,28.3
Nyeri,2025-03-15,Potatoes,19025,38.2
Meru,2025-03-15,Maize,3340,65.1
Meru,2025-03-15,Potatoes,20310,49.8
Kisumu,2025-03-15,Rice,4485,56.7
Kisumu,2025-03-15,Maize,2915,45.9
